Country,Exports,Year,Top goods export (2021)
China,"3,511,248",2023,Broadcasting equipment
United States,"3,051,824",2023,Petroleum
Germany,"2,104,251",2023,Cars
United Kingdom,"1,074,781",2023,Gold
France,"1,051,679",2023,Packaged medications
Netherlands,"949,983",2023,Petroleum
Japan,"920,737",2023,Cars
Italy,"793,588",2023,Packaged medications
Singapore,"778,000",2023,Integrated circuits
India,"773,223",2023,Petroleum
South Korea,"769,534",2023,Integrated circuits
United Arab Emirates,"753,000",2022[3],Petroleum
Ireland,"731,813",2023,Serums and vaccines
Canada,"717,677",2023,Petroleum
Hong Kong (CN),"673,305",2023,Integrated circuits
Switzerland,"661,627",2023,Gold
Mexico,"649,312",2023,Cars
Spain,"615,829",2023,Cars
Taiwan,"536,128",2022[4],Integrated circuits
Belgium,"535,173",2023,Vaccines
Poland,"469,264",2023,Car parts
Russia,"465,432",2023,Petroleum
Australia,"447,506",2023,Iron ore
Brazil,"389,625",2023,Iron ore
Vietnam,"374,265",2023,Broadcasting equipment
Saudi Arabia,"370,973",2023,Petroleum
Turkey,"352,514",2023,Cars
Thailand,"336,871",2023,Data processing equipment
Norway,"321,076",2022,Petroleum
Indonesia,"315,924",2022,Coal
Sweden,"310,493",2022,Cars
Malaysia,"299,656",2022,Integrated circuits
Denmark,"273,868",2022,Packaged medications
Austria,"268,277",2022,Cars
Czech Republic,"217,731",2022,Cars
Israel,"166,098",2022,Diamonds
Luxembourg,"163,585",2022,Iron
Qatar,"161,693",2022,Petroleum
Hungary,"161,609",2022,Cars
South Africa,"135,951",2022,Platinum
Romania,"129,165",2022,Cars
Finland,"125,788",2022,Paper
Slovakia,"114,157",2022,Cars
Kuwait,"110,923",2022,Petroleum
Chile,"107,077",2022,Copper
Greece,"105,756",2022,Petroleum
Portugal,"105,648",2021,Cars
Argentina,"102,947",2022,Soybeans
Philippines,"98,518",2022,Integrated circuits
Kazakhstan,"94,052",2022,Petroleum
Iraq,"78,260",2022,Petroleum
Iran,"76,917",2022[5],Plastic
Egypt,"76,295",2022,Petroleum
Colombia,"72,497",2022,Petroleum
Peru,"71,197",2022,Copper
Nigeria,"69,091",2022,Petroleum
Algeria,"68,664",2022,Petroleum
Lithuania,"61,386",2022,Petroleum
Bulgaria,"60,712",2022,Copper
Bangladesh,"60,138",2022,Clothing
Puerto Rico (US),"59,787",2022[6],
Morocco,"58,556",2022,Fertilizers
New Zealand,"57,462",2022,Milk
Ukraine,"57,018",2022,Sunflower seed oil
Slovenia,"56,400",2022,Packaged medications
Angola,"50,120",2022,Petroleum
Azerbaijan,"47,274",2022,Petroleum
Belarus,"46,767",2022,Fertilizers
Oman,"46,324",2021,Petroleum
Croatia,"41,952",2022,Petroleum
Serbia,"39,900",2022,Insulated wire
Pakistan,"38,700",2022,Clothing
Ecuador,"36,338",2022,Petroleum
Estonia,"32,511",2022,Wood
